,name,instructions,ingredients
307,Braised greens,"Half fill a large pot with salted water, bring to the boil and add your silverbeet and chicory. Cook for 2 or 3 minutes until the greens are tender, or al dente, then drain in a colander. To your empty pan add 4 large lugs of olive oil and the garlic. Fry the garlic until lightly coloured, then throw in your cooked chicory and silverbeet. Season and stir around to coat in all the lovely flavoured oil. After 1 minute, remove from the heat, add the rocket and squeeze in the lemon juice. Stir once more, check the seasoning again, and serve immediately. Great with grilled meats or scallops, or even served cold on an antipasti plate.","2 large handfuls of silverbeet; 2 large handfuls of chicory; olive oil; 2 large cloves of garlic , peeled and finely sliced; sea salt; freshly ground black pepper; 2 large handfuls of rocket; ½ lemon"
308,Homemade Mac and Cheese,"Cook the macaroni according to the package directions (boil for 7-8 minutes, or until tender). Drain the macaroni in a colander.  Place the butter, flour, and onion powder in a medium pot. Whisk and heat over medium until the butter is melted and the mixture begins to bubble. Once bubbling, continue to whisk and cook for one minute. After cooking the butter and flour roux, whisk in the milk. Continue to cook and whisk over medium heat until the milk begins to gently simmer, at which point it will thicken to the consistency of heavy cream or gravy. Turn the burner off. Season the white sauce with the salt and hot sauce. Begin to add the shredded cheddar, one handful at a time, whisking it in until completely melted before adding more. Continue until all of the cheese has been melted into the sauce. If the sauce becomes too cold to melt the cheese, place it back over low heat only briefly to continue melting the cheese. Overheating the sauce can cause it to break and become grainy. Add the cooked and drained pasta to the pot with the cheese sauce and stir to combine. Serve the mac and cheese hot and enjoy!","8 oz. macaroni; 3 Tbsp butter; 3 Tbsp all-purpose flour; 1/2 tsp onion powder; 2 cups whole milk; 1/2 tsp hot sauce*; 1/2 tsp salt; 8 oz. block sharp cheddar, shredded"
309,Mediterranean Tomato & Feta Dip,"Combine the quartered tomatoes and sliced olives on a large serving platter or in a medium-sized serving bowl. Set aside. In a small bowl, combine the olive oil, lemon juice, sun-dried tomatoes, garlic, vinegar and pepper. Whisk until blended. Drizzle all of the mixture over the tomatoes and olives, and toss to combine. Sprinkle the crumbled feta and chopped basil over the tomatoes. Gently toss a few times to combine. Serve immediately, with accompaniments of your choice. This dip is best when fresh, since the tomatoes continue to release their juices over time, but leftovers (covered and chilled) are still good for a day or two.","2 pints (4 cups) cherry tomatoes, quartered  (I love a mix of red and yellow); ½ cup pitted Kalamata olives, thinly sliced; 3 tablespoons extra-virgin olive oil; 2 tablespoons lemon juice; 2 tablespoons oil-packed sun-dried tomatoes, rinsed and chopped; 2 cloves garlic, pressed or minced; 1 teaspoon balsamic vinegar; 10 twists of freshly ground black pepper; 
6 ounces feta cheese, crumbled (don’t buy pre-crumbled; buy a block of feta!)
; 
⅓ cup chopped fresh basil
; 
Accompaniments: Toasted crostini or pita wedges, crusty bread, pita chips or sturdy crackers…
"
310,Raw vegan spag bol,"The night before, put the sundried tomatoes and dates in a non-reactive bowl, pour over 200ml of water. In a separate bowl and cover the walnuts with water and place both bowls in the fridge to soak overnight. For the ‘spaghetti’, use a spiraliser to cut the courgettes into long curly strands or use a julienne peeler to slice into thin strips. Set aside. To make ‘parmesan’, blitz the cauliflower florets in a food processor until you have a grainy consistency. Place it on kitchen towel to soak up excess moisture while you prepare the rest of the dish. Place the garlic, rosemary and chilli in a food processor and blitz until finely chopped. Add the carrot, celery, red pepper and onion and blitz again until chunky. Drain and rinse the walnuts and add to the other ingredients in the processor with the beetroot, plum tomatoes, 150g of the cherry tomatoes, the lemon zest and juice, dates and sundried tomatoes (with their soaking liquid), parsley and half of the basil leaves. Quarter the remaining cherry tomatoes and set aside to garnish. Process the mixture until it forms a thick sauce and the walnut pieces resemble a minced texture. Depending how juicy your tomatoes are, you might need to thin it with a little extra water. Season to taste. To serve, divide the courgette ‘spaghetti’ between plates, pour over the sauce, sprinkle with the quartered tomatoes and cauliflower ‘parmesan’, then top with the remaining basil.",25 g sun-dried tomatoes; 2 dates; 50 g walnuts; 4 courgettes; 4-5 cauliflower florets; ½ a red onion; 1 small clove of garlic; 1 sprig of fresh rosemary; ½ a small red chilli; ½ a carrot; ½ a stick of celery; ¼ of a red pepper; ½ a beetroot; 225 g cherry tomatoes; ½ lemon; ½ a bunch of fresh flat-leaf parsley; ½ a bunch of fresh basil
311,Best Stuffed Shells,"Preheat the oven to 375 with racks in the middle and upper third of the oven. Bring a large Dutch oven or stockpot of water to boil over high heat. Generously salt the water (use at least 2 teaspoons). If you’re not using frozen greens, fill a large bowl with ice water for blanching.  If you’re using fresh greens, add them to the boiling water and cook just until wilted, about 20 to 40 seconds. Using tongs (leave the water in the pot), transfer the greens to the ice bath and let them cool down. Drain off the water and squeeze as much excess water from the greens as possible. Set aside. (If you’re using frozen greens, place them in a colander and run cool water over them until they’ve full defrosted. Squeeze out as much excess water as possible, and set aside.) Bring the water in the pot back to a boil. Gently add the pasta shells in handfuls so they don’t break on the way in. Cook until pliable but just shy of al dente, about 10 minutes, stirring often so they don’t stick to the pot. Drain off the water, return the noodles to the pot, and gently stir in the olive oil to prevent the noodles from sticking. Set aside. Turn on your food processor and drop the garlic through the feeding tube. Once the garlic is chopped and stuck to the sides of the bowl, stop the machine and scrape down the sides. For good measure, squeeze off any remaining water in the greens, then add them to the bowl. Process until the greens are chopped into small pieces. Add the ricotta and process until well blended. Add half of the mozzarella, reserving the rest for topping. Add all of the Parmesan and chives, about 10 twists of black pepper, the red pepper flakes and salt. Blend well. Taste, and add additional salt, pepper or red pepper flakes if desired. Finally, add the egg and process until blended. Set aside. If you have an extra-large baking dish (larger than 9×13 inches), spread 1 cup of the marinara sauce across the bottom. Otherwise, divide 1 cup marinara between a large (9×13 inches) and medium-sized baker (say, an 8-inch square). You might need to add another splash of sauce to evenly coat the bottom of the pans. Stuff each intact shell with a heaping spoonful (about 1 ½ to 2 tablespoons) of the green mixture. Place each stuffed shell in the baker in rows. (You might have a few leftover or broken shells; save them for another use.) Spoon the remaining marinara sauce over the tops of the shells. Top the shells with the remaining mozzarella. Cover the baker(s) tightly with foil and bake on the middle rack for 30 minutes. Then, remove the foil and place the bakers on the upper rack. Bake for 5 to 10 more minutes, until the mozzarella is fully melted and turning just slightly golden (you can bake longer for a more golden effect, but the greens will become less vibrant). Garnish the shells with a light dusting of grated Parmesan and some small or torn fresh basil leaves. Leftover shells will keep well in the refrigerator for up to 4 days, or freeze them for several months.","1 pound (16 ounces) fresh baby spinach or baby kale, or frozen spinach or kale, or 1 ½ pounds Tuscan kale or spinach bunches, washed and stems removed; 1 tablespoon extra virgin olive oil; 12 ounces jumbo shells; 4 cloves garlic, peeled and cut into several segments ; 15 ounces (or 1 pound) ricotta cheese or cottage cheese; 8 ounces (2 cups) grated part-skim mozzarella, divided; ½ cup (2 ounces) grated Parmesan, plus extra for garnish ; ¼ cup (⅔-ounce) chives or green onions (mostly green parts), cut into ¼-long pieces ; Freshly ground pepper, to taste; ½ teaspoon red pepper flakes, to taste (omit if sensitive to spice); ¾ teaspoon fine sea salt, to taste; 1 large egg, lightly beaten with a fork; 3 cups (24 ounces) marinara sauce, homemade* or store-bought (I used Rao’s); Fresh basil for garnish, optional"
312,Easy Sesame Chicken,"First, prepare the sauce. In a small bowl stir together the soy sauce, water, sesame oil, brown sugar, rice vinegar, fresh ginger, minced garlic, cornstarch, and sesame seeds. (Grate the ginger with a small-holed cheese grater). Set the sauce aside. In a large bowl, whisk together the egg, 2 Tbsp cornstarch, and a pinch of salt and pepper. Trim any excess fat from the chicken thighs, then cut them into small 1 inch pieces. Toss the chicken in the egg and cornstarch mixture. Add the cooking oil to a large skillet and heat it over medium flame. Wait until the skillet is very hot, then swirl the skillet to make sure the oil coats the entire surface. Add the batter coated chicken and spread it out into a single layer over the surface of the skillet.  Allow the chicken pieces to cook, undisturbed, until golden brown on the bottom. Then, carefully flip the chicken, breaking up the pieces into smaller clumps as you flip. Continue to cook the chicken until golden brown on the other side. Stir the chicken as little as possible to avoid breaking the egg coating from the surface of the chicken. Once the chicken is cooked through and golden brown on all sides, pour the sauce over top. Toss the chicken to coat in the sauce. As the sauce comes up to a simmer, it will begin to thicken. Continue to gently stir the chicken in the sauce until it has thickened, then turn off the heat. Serve the chicken over a bed of rice and sprinkle the sliced green onions over top.","1 large egg; 2 Tbsp cornstarch; 1 pinch each salt and  pepper; 1 lb boneless skinless chicken thighs; 2 Tbsp cooking oil; 1/4 cup soy sauce; 2 Tbsp water; 1 Tbsp toasted sesame oil; 3 Tbsp brown sugar; 1  Tbsp rice vinegar; 1 tsp grated fresh ginger; 2 cloves garlic, minced; 1 Tbsp sesame seeds; 1/2 Tbsp cornstarch; 4 cups cooked jasmine rice; 2 whole green onions"
313,One Pot Creamy Sun Dried Tomato Pasta,"Chop the sun dried tomatoes into small bite-sized pieces. Add the butter and garlic to a deep skillet or Dutch oven. Sauté the garlic over medium heat for about one minute, or until it is very fragrant. Add the fettuccine, sun dried tomatoes, dried basil, some freshly cracked pepper, and the chicken broth to the skillet. If needed, break the fettuccine in half to make sure it lays flat in the skillet and is submerged in broth. Place a lid on the skillet, turn the heat up to high, and bring the broth to a boil. As soon as it reaches a boil, give the pasta a good stir, replace the lid, and turn the heat down to low or the lowest setting that maintains a simmer. Let the pasta simmer in the broth for 7-10 minutes, or until most of the broth is absorbed and the pasta is tender, stirring every couple of minutes and always replacing the lid. Keeping the heat on low, cut the cream cheese into chunks and stir it into the pasta. Once the cream cheese has melted, add the milk and stir until a smooth sauce forms. Finally, add the grated Parmesan over top and stir until it has melted into the sauce. Serve with extra freshly cracked pepper, if desired.","½ cup sun dried tomatoes; 2 Tbsp butter; 2 cloves garlic, minced; 8 oz. fettuccine; 1/2 tsp dried basil; Freshly cracked pepper; 2 cups chicken broth*; 2 oz. cream cheese; 1 cups whole milk; 1/4 cup grated Parmesan"
314,Street Corn Pasta Salad,"Sauté corn: Add butter to a large skillet over medium heat. Add onion, corn and chipotle peppers and stir. Turn heat to high, cover with lid and sauté, stirring occasionally, until corn is charred and tender, about 4-5 minutes. Remove from heat and transfer to a plate to cool completely. Cook pasta according to package instructions, in salted boiling water. Drain and rinse with cold water to cool it off. Mix sauce ingredients in a bowl: mayo, sour cream, tajin, lime and milk. Combine: Add pasta to a large mixing bowl. Add cooled corn and stir in sauce. Top with cotija cheese and cilantro and enjoy immediately.",8 oz dry ditalini pasta; 1 Tablespoon butter; 1/2 cup white onion; 1 large chipotle chili in adobo sauce; 3 cups fresh corn off the cob; 1/3 cup mayonnaise; 1/2 cup Mexican crema; 2 1/2 teaspoons tajin*; 1 small lime; ½ cup milk; 1/2 cup Cotija cheese; 1/2 cup chopped fresh cilantro
315,Corn Salad,"Whisk dressing ingredients together and set aside. Cook corn: Add 1-2 inches of water to a large skillet. Bring to a boil. Add corn and cook for 3-4 minutes, rotating to cook on all sides. Drain. Heat grill on medium-high heat. Brush corn lightly with olive oil and grill for a few minutes, rotating it as it cooks, until golden on all sides. Allow corn to cool and then cut corn off of the cob and add to a bowl.  Assemble: Add salad ingredients to a bowl and drizzle with desired amount of dressing. Toss to combine. ","6-8 ears corn on the cob; 2 Tablespoons olive oil; 1/4 red onion; 1/2 red bell pepper; 1 avocado; 1/4 cup olive oil; 1/3 cup apple cider vinegar; 1 teaspoon sugar; 1 teaspoon dijon mustard; salt and pepper; 1 small lime, juice from"
316,Broiled Salmon with Spring Peas,"Preheat broiler. Place salmon on a foil lined baking sheet, season with salt, pepper and Gaby's Go To and broil 8-10 minutes or until golden.While the salmon is broiling, transfer the garlic to a medium bowl and add the pecorino, a few tablespoons of olive oil, lemon juice, red pepper flakes, salt, and plenty of black pepper, and whisk to combine. Add the thawed peas. Taste and adjust salt and pepper as needed.Use the back of a fork and just roughly mash half of the peas so they are a little more chunky and leave the other half whole. Add the sliced sugar snap peas and dill, taste and adjust seasoning as needed. Spoon on top of the cooked salmon and serve immediately. ","▢ 1 10-ounce package frozen peas, completely thawed; ▢ ½ cup sugar snap peas, thinly sliced; ▢ 2 cloves garlic, finely chopped; ▢ ⅓ cup finely grated Pecorino Romano cheese, plus more to finish; ▢ ⅓ cup olive oil; ▢ 1 lemon, juiced; ▢ ¼ teaspoon red pepper flakes; ▢ kosher salt and freshly cracked black pepper; ▢ fresh dill (optional); ▢ 1 ½  pound salmon filet; ▢ kosher salt and freshly cracked black pepper; ▢ 1 tablespoon  Gaby's Go To (or All Things Seafood Seasoning)"
317,Foil Pack Chicken Rice and Broccoli,"Pre-heat oven to 400F. Line a baking sheet with 4 sheets of foil (about 6-8 inches) and set aside. Combine the brown rice, and water in a medium bowl and soak for 5 minutes. DIvide rice (and it's water) into 4 sheets of foil. Pound chicken breasts with a meat tenderizer or a rolling pin until they are even. Place the chicken breasts and broccoli florets on the rice. Seasoning each chicken breast generously with 1 teaspoon of chili powder, Italian seasoning, black pepper, and salt to taste. Drizzle each packet with olive oil and fold the sides of the foil over the chicken, covering completely; seal the packets closed. Bake for 40-45 minutes, or until chicken's internal temperature reaches 165F. Remove from oven and carefully open up the foils. Serve immediately."," 4 4 oz chicken breasts, boneless skinless;  2 cups Instant brown or white rice;  2 cups water;  2 cup broccoli florets;  4 teaspoons EACH chili powder, Italian seasoning, black pepper,;  salt to taste;  4 tablespoons olive oil"
318,"30 Minute Sun-dried Tomato, Parmesan, and Basil Chicken and Rice","Heat olive oil in a large heavy-duty pan or pot. Season the chicken thighs with salt and pepper and place skin-down in the hot pan. Cook 4-5 minutes per side or until golden and browned. Stir in garlic for just 30 seconds. Add 2 cups chicken broth; cover the skillet with the lid. Simmer for 12-15 minutes. Add the rice to the same pot, set the temperature to low and simmer the rice with the chicken, lid on, for another 12 minutes or until the rice has fully absorbed the broth. (tip: leave the rice and chicken covered with the lid on the stovetop with the stove-top so the steam can further cook the rice) After the rice is fully cooked, remove the chicken thighs from the pan and gently stir in the chopped sundried tomatoes, basil, and parmesan cheese. Return the chicken thighs to the pan and serve.(Bonus tip: for a crispy chicken skin. Sear the cooked chicken thighs skin-down in a nonstick pan, no need to add oil, for 3- minutes or until the skin is crispy.)"," 1 tablespoon olive oil;  5-6 chicken thighs, Bone-in, Skin-on;  salt and pepper;  3 cloves garlic, minced;  2 cups College Inn chicken broth;  1 cup uncooked Jasmine or Basmati rice, washed;  1/2 cup sun-dried tomatoes in oil, drained, chopped;  1/4 cup basil, chopped (or about 10 leaves);  1/2 cup Parmesan cheese, shredded"
319,Street Corn Pasta Salad with Cilantro Pesto & Goat Cheese,"Preheat grill to high. Drizzle corn with olive or avocado oil. Sprinkle with chili powder, cumin, salt and pepper. Place the corn directly on grill and turn occasionally until corn is charred and cooked, about 10 minutes. Allow corn to cool then cut the corn from the cob and set aside. While the corn is cooking, you can boil your pasta until al dente, according to the directions on the pasta package. Once the pasta is done, drain, rinse with cool water then add to a large bowl. Next make the cilantro pesto: Add cilantro, cashews, lime juice, garlic clove, jalapeno, olive oil, salt and pepper to the bowl of a food processor. Process until smooth, add water if necessary to help thin the pesto and make it easier to process. Add the pesto directly to the bowl with the pasta and mix to combine. Next add in the corn, red bell pepper, avocado, goat cheese and red onion. Gently mix together. Place in fridge for serving for later, or serve immediately! Once ready to serve, garnish with extra cilantro, avocado, goat cheese and jalapeno slices, if you'd like. Serves 6.","For the corn:; 2 large ears of corn, shucked and cleaned; 1-2 teaspoons avocado or olive oil; ½ teaspoon chili powder; ½ teaspoon cumin; Freshly ground salt and pepper; For the pasta:; 8 ounces bow tie pasta (or your favorite pasta); 1 red bell pepper, diced; ½ avocado, diced; ⅓ cup goat cheese crumbles; ½ cup diced red onion; For the cilantro pesto:; 1 cup cilantro leaves (about ½ a bunch); ⅓ cup roasted or raw cashews; 1 small lime, juiced; 1 clove garlic; 1 jalapeño, seeded; 2 tablespoons olive oil or avocado oil; ¼ teaspoon salt, plus more to taste; Freshly ground black pepper; 1-2 tablespoons water, if necessary to thin the pesto; To garnish:; Extra cilantro; ½ avocado, if desired; 2 tablespoons goat cheese crumbles"
320,Ridiculously Good Air Fryer Tofu,"Mix The Batter: In a medium size mixing bowl, whisk the nutritional yeast, cornstarch, soy sauce, oil, and spices into a batter. It should be fairly loose and runny. Coat The Tofu: Tear the tofu into chunks and place them directly into the batter bowl. Using a wide spatula, gently toss the tofu in tbe batter until it’s entirely coated. Air Fry: Air fry at 400 degrees for 8-10 minutes (see Note 5). Stop and give it a shake. And now air fry at 400 again for another 5 minutes until you reach your desired level of golden crispiness! Sauce and Serve: To serve, toss the tofu your favorite sauce for a recipe (curries! stir fries! rice bowls!) or just pop these guys into some dipping sauce like a little nugget. Incredible.",1 block extra firm tofu (look for one that is vacuum-packed so you don’t have to press it! see note 1); 2 1/2 tablespoons cornstarch; 2 1/2 tablespoons nutritional yeast (see note 2); 2 1/2 tablespoons soy sauce; 2 tablespoons avocado oil or olive oil; 2–3 teaspoons all-purpose spice blend (see note 3); your favorite sauce for serving (see note 4)
321,Big Yummy Italian Salad,"Prep Salad Stuff: Chop all your salad veggies, meat, cheese, etc. Make Golden Crispy Garlic Panko: Mix panko, oil, and garlic powder in a bowl. Microwave for 1 minute, stir, and microwave again for 20-40 seconds until it’s nice and golden. (It’ll be hot! Don’t taste it yet.) Season with salt. Toss with No-Recipe Dressing: Add all your salad stuff to a large bowl. Drizzle with oil, pepperoncini brine, Italian seasoning, salt and pepper. Toss to combine, taste, adjust, you know the drill. Finish by tossing those golden panko crispies in there! YUM!","3–4 cups chopped romaine lettuce; 12–15 pieces salami, cut into bite-sized pieces; 1/2 cup cubed cheese like Provolone; 1/4 cup grated Parmesan cheese; 1/2 cup DeLallo Sliced Mild Pepperoncini; 1/2 cup thinly sliced red onion; 1 cup panko; 1/2 teaspoon garlic powder; 2 tablespoons DeLallo Castelvetrano Extra Virgin Olive Oil; Drizzle of DeLallo Castelvetrano Extra Virgin Olive Oil (3 tablespoons); Splash of pepperoncini brine (1-2 tablespoons); A few shakes of Italian seasoning (about 1/2 teaspoon); salt and pepper to taste"
322,Roasted Butternut Squash Soup,"Preheat the oven to 350 degrees F. Line a baking tray with parchment paper and keep it aside. Peel the skin and remove the seeds from the butternut squash. Chop the butternut squash into 1-inch squares. Transfer them to the tray. Add the carrots, onions, and cloves to the same tray. Toss the olive oil over the veggies along with the spices; salt, black pepper, cayenne pepper, nutmeg, and thyme. Coat them well. Place it in the oven and roast for 1 hour until the veggies are soft and tender. Heat a heavy bottom pot over medium heat and add butter. Once the butter is melted add the roasted veggies along with the chicken broth. Let them simmer for 4-5 minutes. Using an immersion blender, puree the soup until smooth and creamy.  If the soup consistency is thick add some more broth to make it a little thin. Serve the butternut squash soup while it is still warm with bread croutons on top."," 1/2 large  butternut squash;  1 cup carrot, , cut into rounds;  1/2 large  yellow onion, , cut into thick slices;  3 garlic cloves;  1 Tablespoon olive oil;  salt, , to taste;  1/2 teaspoon ground black pepper;  1/4 teaspoon cayenne pepper powder;  1/8 teaspoon ground nutmeg;  2 sprigs fresh thyme;  2 Tablespoons butter;  2-3 cups chicken broth , (adjust to the soup consistency);  Bread croutons, , to serve (optional)  "
323,Creamy Garlic Chicken Pasta {with Tomato & Spinach},"Prep Pasta: Boil water in a large pot and cook pasta al dente according to package instructions. Season both sides of chicken breasts with salt garlic powder, Italian seasoning, paprika, and a generous pinch of salt and pepper. Heat olive oil in a large heavy duty pan over medium-high heat and cook chicken breasts 5 minutes per side or until cooked through. Remove from heat and set aside. To the same pan, add the butter and garlic and cook for 1 minute or until fragrant. Add the tomato and spinach and cook 2-3 minutes or until the tomato and spinach are soft and wilted. Reduce the heat and add the heavy cream and parmesan cheese. Whisk until fully incorporated and creamy. Add a pinch of salt and pepper to taste. Drain pasta and slice chicken into thin slices or cubes and return to the same pan. Stir to combine and serve!"," 10 ounces dry pasta, (any kind);  1 pound boneless skinless chicken breast;  1 teaspoon garlic powder;  1 teaspoon Italian seasoning;  1 teaspoon  paprika;  salt & pepper, to taste;  2 tablespoons olive oil;  1 tablespoon butter;  4 cloves garlic, minced;  1 cup tomatoes, diced;  2 cups spinach, chopped, optional;  2 cups heavy cream, (or 16 oz);  1/2 cups Parmesan cheese, shredded or grated;  salt & pepper , to taste"
324,Big Apple Crumb Cake,"Heat oven: To 325°F (165°C). Lightly coat an 8-inch square or 9-inch cake pan with butter or nonstick spray. For extra security, line it with parchment paper. Prepare apples: Toss apples with lemon juice, then cinnamon and sugar and set aside. Make crumbs: Whisk butter, sugars, cinnamon, and salt together until evenly mixed. Add flour and mix until it disappears. It’s going to be very thick; set it it aside. Make cake: Beat butter with sugar until lightened and fluffy. Add egg, sour cream, and vanilla and beat until combined. Sprinkle surface of batter with with baking powder and salt, and beat well to combine. Add flour and mix only until it disappears. Assemble: Scrape batter into prepared cake pan and smooth it flat. Arrange apples on cake, slightly overlapped. I usually fit all but 2 wedges; those are cook’s snacks. Pour any cinnamon-apple juices in bottom of bowl over apples. Sprinkle crumbs over apple slices. For bigger crumbs, squeeze the crumbs into small fistfuls and break these up into a couple bigger chunks over the cake. Bake: Bake the cake until a toothpick inserted into the apples doesn’t hit any crisp spots and if you look closely, you’ll see juices bubbling around some apples, about 50 to 55 minutes. Cool to room temperature, if you can bear it, before cutting into squares or wedges. Dust generously with powdered sugar. Cake keeps at room temperature loosely covered (in an airtight container, the crumbs eventually soften) for 3 days or in the fridge, well-wrapped, for 6 days.","Apples; 1 pound apples (3 medium or 2 large), peeled if you wish, cored, cut into 1/2-inch wedges; Juice of half a lemon; 1 teaspoon ground cinnamon; 1 tablespoon granulated sugar; Crumbs; 1/2 cup (4 ounces or 115 grams) unsalted butter, melted; 1/3 cup (65 grams) light or dark brown sugar; 1/3 cup (65 grams) granulated sugar; 1 teaspoon ground cinnamon; 1/4 teaspoon kosher salt; 1 1/3 cups (175 grams) all-purpose flour; Cake; 6 tablespoons (85 grams) unsalted butter, softened; 1/2 cup (100 grams) granulated sugar; 1 large egg; 1/3 cup (80 grams) sour cream; 1 teaspoon (5 ml) vanilla extract; 1 cup (130 grams) all-purpose flour; 1 1/4 teaspoon baking powder; 3/4 teaspoon kosher salt; Finish; Powdered sugar, for dusting"
325,Homemade Garlic Bread,"Preheat the oven to 400ºF. In a bowl, stir together the room-temperature butter, olive oil, minced garlic, garlic powder, chopped parsley, and salt until relatively smooth (a few small lumps of butter are okay). Cut the loaf in half, into two 12"" long pieces, then cut each piece open lengthwise. Lay the bread on a baking sheet cut sides facing up. Spread the garlic butter mixture evenly over the open surfaces of the bread.* Bake the bread for 10-15 minutes, or until the edges are golden brown and crispy. Bake for less time if you prefer a softer garlic bread, and more time if you prefer a crispier garlic bread. Cut the bread into 2-inch sections and serve hot.","1 loaf French or Italian bread (approx. 24"" long); 6 Tbsp butter, room temperature; 2 Tbsp olive oil; 4 cloves garlic, minced; 2 Tbsp chopped fresh parsley; 1/8 tsp salt; 1/4 tsp garlic powder"
326,Super Yummy Chicken Salad,"Dressing: Whisk the dressing ingredients until smooth. Taste and adjust, keeping in mind that it should taste salty / concentrated as it will distribute amongst all the other ingredients. Mix: Toss your mix-ins (chicken, grapes, celery, and cashews) with as much of the dressing as you like. Season: Taste, adjust, and zhuzh to your heart’s content. I usually stir in some freeze-dried chives and white pepper.  You’re Done! Yum! Eat on a whole wheat wrap, lettuce wrap, sandwich, toast, dipped with crackers or just PLAIN! Delicious, cold, creamy, I love it. Store leftovers in an airtight container the fridge for up to 4 days.","1/2 cup plain Greek yogurt (I prefer 2% milkfat or higher); 1/4 cup mayo; 1 tablespoon Dijon mustard; 2 teaspoons sugar (more or less to taste – and honey also works!); 3/4 teaspoon kosher salt; 3/4 teaspoon onion powder; 1/2 teaspoon garlic powder; 2 1/2 cups cooked chicken, cubed or diced (I use rotisserie chicken breast); 1 1/2 cups red grapes, sliced; 1 cup finely diced celery (about 2-3 stalks); 1 cup roasted cashew halves and pieces; any extra seasonings you like (dried herbs, fresh herbs, salt and pepper, etc. – I typically add dried chives!)"
327,Creamy courgette lasagne,"Heat oven to 220C/fan 200C/gas 7. Put a pan of water on to boil, then cook the lasagne sheets for about 5 mins until softened, but not cooked through. Rinse in cold water, then drizzle with a little oil to stop them sticking together. Meanwhile, heat the oil in a large frying pan, then fry the onion. After 3 mins, add the courgettes and garlic and continue to fry until the courgette has softened and turned bright green. Stir in 2/3 of both the ricotta and the cheddar, then season to taste. Heat the tomato sauce in the microwave for 2 mins on High until hot. In a large baking dish, layer up the lasagne, starting with half the courgette mix, then pasta, then tomato sauce. Repeat, top with blobs of the remaining ricotta, then scatter with the rest of the cheddar. Bake on the top shelf for about 10 mins until the pasta is tender and the cheese is golden.","9 dried lasagne  sheets; 1 tbsp sunflower oil; 1 onion, finely chopped; 700g courgette (about 6), coarsely grated; 2 garlic cloves, crushed; 250g tub ricotta; 50g cheddar; 350g jar tomato sauce  for pasta"
328,85+ Outstanding Breakfast Ideas: Garlic and Herb Parmesan Biscuits,"Preheat oven to 450˚F.In a large mixing bowl combine the flour, baking powder, salt, pepper and baking soda and whisk to combine. Using a fork or a pastry cutter, cut the cold Garlic & Herb Butter Spread into the flour mixture until crumbly. Make a well in the center, place cheese and chives in the well and pour buttermilk over. Carefully and slowly stir until it comes together and makes doughTurn the dough out onto lightly floured surface and, with floured hands, give it a quick knead 3-4 times to bring it together. Pat the dough into an 8×8 square, about 1 inch thick, and cut into 9 square biscuitsPlace on a baking sheet lined with parchment or a silpat, brush with melted butter spread, sprinkle with salt and pepper and place in a hot oven until puffed up and golden brown, around 15-18 minutesSlice each biscuit in half and serve with prosciutto, scrambled eggs and softened butter spread slathered on top","▢ 2 cups all purpose flour; ▢ 4 teaspoons baking powder; ▢ ½ teaspoons kosher salt; ▢ ½ teaspoon freshly cracked black pepper; ▢ ¼ teaspoon baking soda; ▢ ¼ cup Garlic & Herb Butter Spread, plus 2 tablespoons melted Garlic & Herb Butter Spread; ▢ ⅓ cup cubed Parmesan cheese (¼ inch); ▢ ⅓ cup cubed Gruyère cheese (¼ inch); ▢ ½ cup chopped chives; ▢ 1 cup cold buttermilk; ▢ Flaky salt and freshly cracked black pepper to top; ▢ soft scrambled eggs; ▢ sliced prosciutto; ▢ extra Garlic & Herb Butter Spread"
